id,countryname,region,regionname,adminregion,adminregionname,incomelevel,incomelevelname,lendingtype,lendingtypename,year,HALE,EG,pop_totl,CO2,Urb,Hep,OIL_t,Oil
1,Algeria,MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,2000,62.94,3553.324,30903893,2.845473,2.745489,295.6862,8.483,0.274496161
1,Algeria,MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,2001,63.19,3610.006,31331221,2.73913,2.688062,337.8828,8.782,0.280295492
1,Algeria,MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,2002,63.45,3754.661,31750835,2.824622,2.6216,347.5323,9.734,0.306574614
1,Algeria,MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,2003,63.6,3945.898,32175818,2.999221,2.594727,361.9206,10.125,0.314677314
1,Algeria,MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,2004,64,4066.282,32628286,2.961289,2.636235,376.1946,10.59,0.324565011
1,Algeria,MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,2005,64.25,4223.603,33109249,3.062498,2.675391,369.6225,11.034396,0.333272313
1,Algeria,MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,2006,64.47,4279.615,33623506,3.137716,2.729546,395.7243,11.5159,0.342495515
1,Algeria,MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,2007,64.67,4339.25,34189416,3.18555,2.831154,470.7217,12.90056632,0.377326314
1,Algeria,MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,2008,64.87,4367.565,34816961,3.265719,2.958505,530.4385,14.020728,0.402698214
1,Algeria,MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,2009,65.04,4336.101,35490445,3.270895,3.012772,678.6644,14.868,0.418929658
1,Algeria,MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,2010,65.23,4456.61,36188236,3.277714,3.009838,666.2862,14.975,0.413808509
1,Algeria,MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,2011,65.36,4501.354,36903376,3.381669,2.982121,706.473,15.826,0.428849653
1,Algeria,MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,2012,65.51,4518.44,37646166,3.725742,2.982963,809.0426,16.817,0.446712157
1,Algeria,MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,2013,65.63,4543.234,38414171,3.792954,2.974116,801.4478,17.565,0.457253132
1,Algeria,MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,2014,65.74,4634.102,39205031,3.95385,2.960638,867.7911,18.275,0.466139154
1,Algeria,MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,2015,65.84,4685.059,40019529,4.119541,2.94518,853.5079,19.4626,0.486327563
1,Algeria,MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,2016,65.98,4768.731,40850721,3.940942,2.914404,782.1357,18.9165,0.463064042
1,Algeria,MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,2017,66.06,4742.901,41689299,3.995064,2.858423,773.7905,18.5683,0.445397271
1,Algeria,MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,2018,66.06,4717.003,42505035,4.113294,2.735427,781.5744,18.7448,0.441001872
1,Algeria,MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,2019,66.14,4672.664,43294546,4.195662,2.608496,729.4876,19.52315,0.450937862
1,Algeria,MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,2020,64.14,4363.686,44042091,3.902928,2.452446,720.6746,17.4696,0.396656916
1,Algeria,MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,2021,65.55,4456.747,44761099,4.015587,2.332911,685.835,18.21779,0.407000507
2,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,2000,64.73,10631.65,37213984,3.675006,1.346498,1056.779,22.384,0.60149432
2,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,2001,64.7,10051.95,37624825,3.490969,1.307504,1040.532,20.645,0.548706871
2,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,2002,64.65,8861.562,38029349,3.262086,1.271829,822.722,19.671,0.517258394
2,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,2003,64.63,9545.532,38424282,3.519761,1.229575,842.7422,20.064,0.522169809
2,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,2004,65.11,10302.45,38815916,3.85751,1.207897,875.8442,21.479,0.553355484
2,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,2005,65.37,11099.75,39216789,3.918725,1.217572,1024.66,22.499875,0.573730679
2,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,2006,65.57,11870.28,39622115,4.104216,1.215786,1133.986,23.67961126,0.597636226
2,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,2007,65.24,12811.9,40016763,4.327089,1.174967,1288.973,26.32824221,0.657930333
2,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,2008,65.72,13197.36,40424148,4.435787,1.194208,1413.351,26.61282743,0.658339848
2,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,2009,65.85,12285.38,40854831,4.0366,1.237459,1530.161,25.34600548,0.620391882
2,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,2010,65.83,13387.16,41288694,4.296678,1.23043,1685.549,27.61120399,0.668735223
2,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,2011,65.97,14040.62,41730660,4.430184,1.219823,1799.346,28.60531877,0.685474871
2,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,2012,66.15,13754.43,42161721,4.479556,1.171529,1910.593,30.43082929,0.721764401
2,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,2013,66.19,13946.09,42582455,4.538012,1.133332,1951.526,32.3239353,0.759090459
2,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,2014,66.44,13456.13,43024071,4.418041,1.171921,1887.988,32.13119554,0.746819043
2,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,2015,66.48,13679.63,43477012,4.51393,1.185054,2040.307,32.75938446,0.753487486
2,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,2016,66.2,13265.89,43900313,4.42298,1.104335,1987.33,31.66725748,0.721344686
2,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,2017,66.6,13520.11,44288894,4.321156,1.014308,2401.091,31.35152394,0.707886811
2,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,2018,66.79,13058.33,44654882,4.251246,0.9547648,2388.695,29.85496803,0.6685712
2,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,2019,66.9,12706.4,44973465,4.075445,0.8425218,2334.758,27.12817191,0.603203954
2,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,2020,66.15,11393.05,45191965,3.764393,0.6150289,2182.313,24.37051244,0.539266492
2,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,2021,64.79,12549.28,45312281,4.207734,0.3939043,2418.796,29.52875267,0.651672174
3,Australia,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,2000,68.11,45859.52,19028802,18.59653,0.9843338,2138.463,37.55422749,1.9735466
3,Australia,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,2001,68.41,46191.31,19274701,18.69851,1.123579,2257.972,37.63800532,1.952715392
